Pressure	Recomb	Tgas
0.2	36.139630390143736	325.8
0.3	23.32648870636551	325.112278
0.5	15.564681724845997	326.9391268
0.75	14.332648870636547	334.9990052
1	16.05749486652978	336.235012
1.5	18.15195071868584	341.2578984
2	20.492813141683783	346.2223964
3	24.312114989733047	350.106758
5	29.117043121149905	362.8673884
7.5	34.537987679671446	377.346866
