Density O	E avg	Flux ion	Twall	Tgas	Current
5.37E+15	0.001	1.00E+15	323.15	335.800438	10
6.69E+15	0.001	2.00E+15	323.15	346.2223964	20
7.37E+15	0.001	3.00E+15	323.15	353.6377512	30
7.88E+15	0.001	4.00E+15	323.15	358.593404	40
6.74E+15	0.001	1.00E+15	273.15	292.6192872	10
7.09E+15	0.001	2.00E+15	273.15	304.380298	20
7.34E+15	0.001	3.00E+15	273.15	311.9465056	30
6.197E+15	0.001	4.00E+15	273.15	300	40
