Current 	Recomb      Twall
10	0.0006931	50
20	0.00084684	50
30	0.0012898	50
40	0.0016491	50
10	0.00042665	50
20	0.00065672	50
30	0.00075381	50
40	0.00092806	50
10	0.00034269	50
20	0.00043868	50
30	0.0005371	50
40	0.0005229	50
10	0.00082976	5
20	0.0012508	5
30	0.0016583	5
40	0.00192028	5
10	0.00054823	5
20	0.00069569	5
30	0.00084783	5
40	0.0010348	5
10	0.00043696	5
20	0.00049115	5
30	0.00058729  5
40	0.00066909	5
10	0.00037936	5
20	0.00041111	5
30	0.00048095  5
40	0.00050317	5
