Density O	E avg	Flux ion	Twall	Tgas	Current
5.50E+15	0.001	1.00E+15	323.15	338.9742604	10
7.83E+15	0.001	2.00E+15	323.15	350.106758	20
8.39E+15	0.001	3.00E+15	323.15	365.7186396	30
9.11E+15	0.001	4.00E+15	323.15	371.6825276	40
6.20E+15	0.001	1.00E+15	273.15	299.3327492	10
7.19E+15	0.001	2.00E+15	273.15	312.2514704	20
7.37E+15	0.001	3.00E+15	273.15	322.45763	30
7.52E+15	0.001	4.00E+15	273.15	330.089044	40
