Current 	Pressure 	Recomb	Twall	Oden
20	0.4	0.0005639064212	-20	1.4939e15
40	0.4	0.0008425105963	-20	1.15e16
20	0.4	0.0004986070906	5	1.15e16
40	0.4	0.0008581912453	5	1.15e16
20	0.4	0.0006629035817	25	1.15e16
40	0.4	0.001355792307	25	1.15e16
20	0.4	0.0007953393021	50	1.15e16
40	0.4	0.001658650053	50	1.15e16
