Pressure	Recomb	Tgas
0.2	39.83471074380165	288.4049092
0.3	30.909090909090907	292.4929708
0.5	20.743801652892557	295.73758
0.75	19.00826446280992	296.386788
1	22.603305785123965	298.343568
1.5	28.305785123966928	304.9175368
2	32.768595041322314	311.9465056
3	38.22314049586777	322.45763
5	47.39669421487603	337.8282328
7.5	55.33057851239669	353.5085268
