Density O	E avg	Flux ion	Twall	Tgas	Current
3.73E+15	0.27	1.00E+15	323.15	330.181678	10
4.67E+15	0.27	2.00E+15	323.15	336.235012	20
5.13E+15	0.27	3.00E+15	323.15	339.289938	30
5.44E+15	0.27	4.00E+15	323.15	342.511996	40
5.25E+15	0.27	1.00E+15	273.15	289.0523728	10
5.55E+15	0.27	2.00E+15	273.15	292.8136	20
6.02E+15	0.27	3.00E+15	273.15	298.343568	30
5.93E+15	0.27	4.00E+15	273.15	302.4356672	40
