Pressure	Recomb	Tgas
0.2	31.40495867768594	286.12
0.3	21.611570247933884	284.0802784
0.5	16.15702479338843	290.4298188
0.75	14.545454545454547	291.2966008
1	18.388429752066116	292.8136856
1.5	21.983471074380162	299.2373812
2	25.330578512396684	304.380298
3	29.173553719008268	312.2514704
5	35.74380165289256	322.4520216
7.5	42.438016528925615	337.2283048
