Density O	E avg	Flux ion	Twall	Tgas	Current
6.53E+15	0.001	1.00E+15	323.15	377.346866	10
8.40E+15	0.001	2.00E+15	323.15	393.7521892	20
7.88E+15	0.001	3.00E+15	323.15	409.8008708	30
7.88E+15	0.001	3.00E+15	323.15	409.8008708	40
5.98E+15	0.001	1.00E+15	273.15	337.2283048	10
7.43E+15	0.001	2.00E+15	273.15	353.5085268	20
7.54E+15	0.001	3.00E+15	273.15	375.4490984	30
6.14E+15	0.001	3.00E+15	273.15	364.4490984	40
