Density O	E avg	Flux ion	Twall	Tgas	Current
4.70E+15	0.001	1.00E+15	323.15	333.554908	10
6.00E+15	0.001	2.00E+15	323.15	341.2578984	20
6.64E+15	0.001	3.00E+15	323.15	346.6110252	30
7.00E+15	0.001	4.00E+15	323.15	352.3742484	40
6.35E+15	0.001	1.00E+15	273.15	290.49948	10
6.75E+15	0.001	2.00E+15	273.15	299.2373812	20
6.99E+15	0.001	3.00E+15	273.15	304.9175368	30
6.83E+15	0.001	4.00E+15	273.15	309.5695352	40
