Oden	Eavg Ion	Flux Ion	Twall 	Tnw	Current
1.26E15	0.87	2.00E15	253.15	265.4903	20
1.3180E15	0.87	4.00E15	253.15	273.346	40
1.26E15	0.87	2.00E15	278.15	290.8	20
1.3180E15	0.87	4.00E15	278.15	300.8713	40
1.26E15	0.87	2.00E15	298.15	308.135	20
1.3180E15	0.87	4.00E15	298.15	310.152	40
1.26E15	0.87	2.00E15	323.15	325.28	20
1.3180E15	0.87	4.00E15	323.15	327.08	40
